Simba Used Cars|111 Old Benbrook Rd|817-555-5555
1003|2019|Chevrolet|Malibu|Sedan|Silver|31000|17999.5
1004|2021|Tesla|Model 3|Sedan|Red|15000|35999.99
1005|2017|Honda|Civic|Coupe|Blue|60000|12995.0
1006|2018|Mazda|CX-5|SUV|Black|111000|18000.0
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
1007|2020|Toyota|Camry|Sedan|White|22000|22995.0
1008|2016|BMW|X3|SUV|Gray|72000|18999.0
1009|2022|Hyundai|Elantra|Sedan|Blue|12000|20999.5
1010|2015|Jeep|Wrangler|SUV|Green|85000|23995.0
1011|2018|Subaru|Outback|Wagon|Silver|45000|21499.0
1012|2019|Kia|Sorento|SUV|Black|38000|19995.0
1013|2017|Volkswagen|Jetta|Sedan|Red|51000|13995.0
1014|2021|Nissan|Altima|Sedan|Gray|18000|24999.0
1015|2014|Chevrolet|Impala|Sedan|Gold|97000|10995.0
1016|2023|Ford|F-150|Truck|Blue|8000|42999.0
1017|2013|Audi|A4|Sedan|Black|98000|10995.0
12130|2020|Honda|CR-V|SUV|Silver|25000|25999.0
1019|2019|Chevrolet|Equinox|SUV|Blue|33000|21995.0
1020|2017|Toyota|RAV4|SUV|White|62000|18995.0
1021|2015|Ford|Fusion|Sedan|Gray|87000|9995.0
10108|2022|Hyundai|Tucson|SUV|Red|14000|27999.0
1023|2018|Jeep|Cherokee|SUV|Green|54000|17495.0
1024|2016|Mazda|Mazda3|Hatchback|Silver|71000|12995.0
1025|2021|Tesla|Model Y|SUV|Black|18000|45999.0
1026|2014|Nissan|Sentra|Sedan|Blue|95000|8495.0
1027|2019|Kia|Optima|Sedan|White|41000|17995.0
1028|2017|Volkswagen|Passat|Sedan|Gray|58000|13995.0
10110|2020|Subaru|Forester|SUV|Silver|22000|26995.0
1030|2012|Chevrolet|Tahoe|SUV|Black|120000|15995.0
1031|2023|Ram|1500|Truck|Red|9000|47999.0
